course_name,letter_grade,description,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,IP,NP,NR,P,S,U
Anthropology 003,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,2%,,,,,,
Anthropology 003,W,Number of Records,,,,,,,,,,,,,,31,,,,,,
Anthropology 005,A,% of Total Number of Records along Grade Code Final,,12%,,,,,,,,,,,,,,,,,,
Anthropology 005,A,Number of Records,,387,,,,,,,,,,,,,,,,,,
Anthropology 005,A-,% of Total Number of Records along Grade Code Final,,,10%,,,,,,,,,,,,,,,,,
Anthropology 005,A-,Number of Records,,,328,,,,,,,,,,,,,,,,,
Anthropology 005,A+,% of Total Number of Records along Grade Code Final,2%,,,,,,,,,,,,,,,,,,,
Anthropology 005,A+,Number of Records,78,,,,,,,,,,,,,,,,,,,
Anthropology 005,B,% of Total Number of Records along Grade Code Final,,,,,14%,,,,,,,,,,,,,,,
Anthropology 005,B,Number of Records,,,,,474,,,,,,,,,,,,,,,
Anthropology 005,B-,% of Total Number of Records along Grade Code Final,,,,,,11%,,,,,,,,,,,,,,
Anthropology 005,B-,Number of Records,,,,,,364,,,,,,,,,,,,,,
Anthropology 005,B+,% of Total Number of Records along Grade Code Final,,,,8%,,,,,,,,,,,,,,,,
Anthropology 005,B+,Number of Records,,,,246,,,,,,,,,,,,,,,,
Anthropology 005,C,% of Total Number of Records along Grade Code Final,,,,,,,,14%,,,,,,,,,,,,
Anthropology 005,C,Number of Records,,,,,,,,445,,,,,,,,,,,,
Anthropology 005,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,7%,,,,,,,,,,,
Anthropology 005,C-,Number of Records,,,,,,,,,224,,,,,,,,,,,
Anthropology 005,C+,% of Total Number of Records along Grade Code Final,,,,,,,8%,,,,,,,,,,,,,
Anthropology 005,C+,Number of Records,,,,,,,255,,,,,,,,,,,,,
Anthropology 005,D,% of Total Number of Records along Grade Code Final,,,,,,,,,,,4%,,,,,,,,,
Anthropology 005,D,Number of Records,,,,,,,,,,,138,,,,,,,,,
Anthropology 005,D-,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,1%,,,,,,,,
Anthropology 005,D-,Number of Records,,,,,,,,,,,,22,,,,,,,,
Anthropology 005,D+,% of Total Number of Records along Grade Code Final,,,,,,,,,,3%,,,,,,,,,,
Anthropology 005,D+,Number of Records,,,,,,,,,,93,,,,,,,,,,
Anthropology 005,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,4%,,,,,,,
Anthropology 005,F,Number of Records,,,,,,,,,,,,,138,,,,,,,
Anthropology 005,NP,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,0%,,,,
Anthropology 005,NP,Number of Records,,,,,,,,,,,,,,,,7,,,,
Anthropology 005,P,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,0%,,
Anthropology 005,P,Number of Records,,,,,,,,,,,,,,,,,,14,,
Anthropology 005,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,2%,,,,,,
Anthropology 005,W,Number of Records,,,,,,,,,,,,,,56,,,,,,
Anthropology 010,A,% of Total Number of Records along Grade Code Final,,16%,,,,,,,,,,,,,,,,,,
Anthropology 010,A,Number of Records,,4,,,,,,,,,,,,,,,,,,
Anthropology 010,A-,% of Total Number of Records along Grade Code Final,,,4%,,,,,,,,,,,,,,,,,
﻿Anthropology 010,A-,Number of Records,,,1,,,,,,,,,,,,,,,,,
Anthropology 010,A+,% of Total Number of Records along Grade Code Final,16%,,,,,,,,,,,,,,,,,,,
Anthropology 010,A+,Number of Records,4,,,,,,,,,,,,,,,,,,,
Anthropology 010,B,% of Total Number of Records along Grade Code Final,,,,,16%,,,,,,,,,,,,,,,
Anthropology 010,B,Number of Records,,,,,4,,,,,,,,,,,,,,,
Anthropology 010,B-,% of Total Number of Records along Grade Code Final,,,,,,8%,,,,,,,,,,,,,,
Anthropology 010,B-,Number of Records,,,,,,2,,,,,,,,,,,,,,
Anthropology 010,B+,% of Total Number of Records along Grade Code Final,,,,12%,,,,,,,,,,,,,,,,
Anthropology 010,B+,Number of Records,,,,3,,,,,,,,,,,,,,,,
Anthropology 010,C,% of Total Number of Records along Grade Code Final,,,,,,,,4%,,,,,,,,,,,,
Anthropology 010,C,Number of Records,,,,,,,,1,,,,,,,,,,,,
Anthropology 010,C+,% of Total Number of Records along Grade Code Final,,,,,,,8%,,,,,,,,,,,,,
Anthropology 010,C+,Number of Records,,,,,,,2,,,,,,,,,,,,,
Anthropology 010,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,8%,,,,,,,
Anthropology 010,F,Number of Records,,,,,,,,,,,,,2,,,,,,,
Anthropology 010,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,8%,,,,,,
Anthropology 010,W,Number of Records,,,,,,,,,,,,,,2,,,,,,
Anthropology 090X,A,% of Total Number of Records along Grade Code Final,,67%,,,,,,,,,,,,,,,,,,
Anthropology 090X,A,Number of Records,,6,,,,,,,,,,,,,,,,,,
Anthropology 090X,A-,% of Total Number of Records along Grade Code Final,,,11%,,,,,,,,,,,,,,,,,
Anthropology 090X,A-,Number of Records,,,1,,,,,,,,,,,,,,,,,
Anthropology 090X,B,% of Total Number of Records along Grade Code Final,,,,,11%,,,,,,,,,,,,,,,
Anthropology 090X,B,Number of Records,,,,,1,,,,,,,,,,,,,,,
Anthropology 090X,C,% of Total Number of Records along Grade Code Final,,,,,,,,11%,,,,,,,,,,,,
Anthropology 090X,C,Number of Records,,,,,,,,1,,,,,,,,,,,,
Anthropology 095,A,% of Total Number of Records along Grade Code Final,,100%,,,,,,,,,,,,,,,,,,
Anthropology 095,A,Number of Records,,1,,,,,,,,,,,,,,,,,,
Anthropology 099,P,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,100%,,
Anthropology 099,P,Number of Records,,,,,,,,,,,,,,,,,,1,,
Anthropology 100,A,% of Total Number of Records along Grade Code Final,,30%,,,,,,,,,,,,,,,,,,
Anthropology 100,A,Number of Records,,132,,,,,,,,,,,,,,,,,,
Anthropology 100,A-,% of Total Number of Records along Grade Code Final,,,23%,,,,,,,,,,,,,,,,,
Anthropology 100,A-,Number of Records,,,103,,,,,,,,,,,,,,,,,
Anthropology 100,A+,% of Total Number of Records along Grade Code Final,7%,,,,,,,,,,,,,,,,,,,
Anthropology 100,A+,Number of Records,30,,,,,,,,,,,,,,,,,,,
Anthropology 100,B,% of Total Number of Records along Grade Code Final,,,,,10%,,,,,,,,,,,,,,,
Anthropology 100,B,Number of Records,,,,,46,,,,,,,,,,,,,,,
Anthropology 100,B-,% of Total Number of Records along Grade Code Final,,,,,,4%,,,,,,,,,,,,,,
Anthropology 100,B-,Number of Records,,,,,,18,,,,,,,,,,,,,,
Anthropology 100,B+,% of Total Number of Records along Grade Code Final,,,,9%,,,,,,,,,,,,,,,,
Anthropology 100,B+,Number of Records,,,,41,,,,,,,,,,,,,,,,
Anthropology 100,C,% of Total Number of Records along Grade Code Final,,,,,,,,2%,,,,,,,,,,,,
Anthropology 100,C,Number of Records,,,,,,,,8,,,,,,,,,,,,
Anthropology 100,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,2%,,,,,,,,,,,
Anthropology 100,C-,Number of Records,,,,,,,,,7,,,,,,,,,,,
Anthropology 100,C+,% of Total Number of Records along Grade Code Final,,,,,,,3%,,,,,,,,,,,,,
Anthropology 100,C+,Number of Records,,,,,,,12,,,,,,,,,,,,,
Anthropology 100,D,% of Total Number of Records along Grade Code Final,,,,,,,,,,,0%,,,,,,,,,
Anthropology 100,D,Number of Records,,,,,,,,,,,2,,,,,,,,,
Anthropology 100,D-,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,0%,,,,,,,,
﻿Anthropology 100,D-,Number of Records,,,,,,,,,,,,1,,,,,,,,
Anthropology 100,D+,% of Total Number of Records along Grade Code Final,,,,,,,,,,1%,,,,,,,,,,
Anthropology 100,D+,Number of Records,,,,,,,,,,4,,,,,,,,,,
Anthropology 100,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,7%,,,,,,,
Anthropology 100,F,Number of Records,,,,,,,,,,,,,30,,,,,,,
Anthropology 100,NP,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,0%,,,,
Anthropology 100,NP,Number of Records,,,,,,,,,,,,,,,,2,,,,
Anthropology 100,P,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,0%,,
Anthropology 100,P,Number of Records,,,,,,,,,,,,,,,,,,2,,
Anthropology 100,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,2%,,,,,,
Anthropology 100,W,Number of Records,,,,,,,,,,,,,,7,,,,,,
Anthropology 101E,A,% of Total Number of Records along Grade Code Final,,100%,,,,,,,,,,,,,,,,,,
Anthropology 101E,A,Number of Records,,1,,,,,,,,,,,,,,,,,,
Anthropology 110,A,% of Total Number of Records along Grade Code Final,,23%,,,,,,,,,,,,,,,,,,
Anthropology 110,A,Number of Records,,41,,,,,,,,,,,,,,,,,,
Anthropology 110,A-,% of Total Number of Records along Grade Code Final,,,22%,,,,,,,,,,,,,,,,,
Anthropology 110,A-,Number of Records,,,39,,,,,,,,,,,,,,,,,
Anthropology 110,A+,% of Total Number of Records along Grade Code Final,6%,,,,,,,,,,,,,,,,,,,
Anthropology 110,A+,Number of Records,11,,,,,,,,,,,,,,,,,,,
Anthropology 110,B,% of Total Number of Records along Grade Code Final,,,,,13%,,,,,,,,,,,,,,,
Anthropology 110,B,Number of Records,,,,,24,,,,,,,,,,,,,,,
Anthropology 110,B-,% of Total Number of Records along Grade Code Final,,,,,,3%,,,,,,,,,,,,,,
Anthropology 110,B-,Number of Records,,,,,,6,,,,,,,,,,,,,,
Anthropology 110,B+,% of Total Number of Records along Grade Code Final,,,,23%,,,,,,,,,,,,,,,,
Anthropology 110,B+,Number of Records,,,,41,,,,,,,,,,,,,,,,
Anthropology 110,C,% of Total Number of Records along Grade Code Final,,,,,,,,1%,,,,,,,,,,,,
Anthropology 110,C,Number of Records,,,,,,,,2,,,,,,,,,,,,
Anthropology 110,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,1%,,,,,,,,,,,
Anthropology 110,C-,Number of Records,,,,,,,,,2,,,,,,,,,,,
Anthropology 110,C+,% of Total Number of Records along Grade Code Final,,,,,,,2%,,,,,,,,,,,,,
Anthropology 110,C+,Number of Records,,,,,,,3,,,,,,,,,,,,,
Anthropology 110,D,% of Total Number of Records along Grade Code Final,,,,,,,,,,,1%,,,,,,,,,
Anthropology 110,D,Number of Records,,,,,,,,,,,1,,,,,,,,,
Anthropology 110,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,1%,,,,,,,
Anthropology 110,F,Number of Records,,,,,,,,,,,,,2,,,,,,,
Anthropology 110,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,4%,,,,,,
Anthropology 110,W,Number of Records,,,,,,,,,,,,,,7,,,,,,
Anthropology 111,A,% of Total Number of Records along Grade Code Final,,14%,,,,,,,,,,,,,,,,,,
Anthropology 111,A,Number of Records,,11,,,,,,,,,,,,,,,,,,
Anthropology 111,A-,% of Total Number of Records along Grade Code Final,,,22%,,,,,,,,,,,,,,,,,
Anthropology 111,A-,Number of Records,,,17,,,,,,,,,,,,,,,,,
Anthropology 111,A+,% of Total Number of Records along Grade Code Final,6%,,,,,,,,,,,,,,,,,,,
Anthropology 111,A+,Number of Records,5,,,,,,,,,,,,,,,,,,,
Anthropology 111,B,% of Total Number of Records along Grade Code Final,,,,,18%,,,,,,,,,,,,,,,
Anthropology 111,B,Number of Records,,,,,14,,,,,,,,,,,,,,,
Anthropology 111,B-,% of Total Number of Records along Grade Code Final,,,,,,6%,,,,,,,,,,,,,,
Anthropology 111,B-,Number of Records,,,,,,5,,,,,,,,,,,,,,
Anthropology 111,B+,% of Total Number of Records along Grade Code Final,,,,8%,,,,,,,,,,,,,,,,
Anthropology 111,B+,Number of Records,,,,6,,,,,,,,,,,,,,,,
Anthropology 111,C,% of Total Number of Records along Grade Code Final,,,,,,,,3%,,,,,,,,,,,,
﻿Anthropology 111,C,Number of Records,,,,,,,,2,,,,,,,,,,,,
Anthropology 111,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,1%,,,,,,,,,,,
Anthropology 111,C-,Number of Records,,,,,,,,,1,,,,,,,,,,,
Anthropology 111,C+,% of Total Number of Records along Grade Code Final,,,,,,,4%,,,,,,,,,,,,,
Anthropology 111,C+,Number of Records,,,,,,,3,,,,,,,,,,,,,
Anthropology 111,D,% of Total Number of Records along Grade Code Final,,,,,,,,,,,1%,,,,,,,,,
Anthropology 111,D,Number of Records,,,,,,,,,,,1,,,,,,,,,
Anthropology 111,D-,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,1%,,,,,,,,
Anthropology 111,D-,Number of Records,,,,,,,,,,,,1,,,,,,,,
Anthropology 111,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,8%,,,,,,,
Anthropology 111,F,Number of Records,,,,,,,,,,,,,6,,,,,,,
Anthropology 111,P,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,8%,,
Anthropology 111,P,Number of Records,,,,,,,,,,,,,,,,,,6,,
Anthropology 111,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,1%,,,,,,
Anthropology 111,W,Number of Records,,,,,,,,,,,,,,1,,,,,,
Anthropology 112,A,% of Total Number of Records along Grade Code Final,,23%,,,,,,,,,,,,,,,,,,
Anthropology 112,A,Number of Records,,71,,,,,,,,,,,,,,,,,,
Anthropology 112,A-,% of Total Number of Records along Grade Code Final,,,16%,,,,,,,,,,,,,,,,,
Anthropology 112,A-,Number of Records,,,49,,,,,,,,,,,,,,,,,
Anthropology 112,A+,% of Total Number of Records along Grade Code Final,5%,,,,,,,,,,,,,,,,,,,
Anthropology 112,A+,Number of Records,15,,,,,,,,,,,,,,,,,,,
Anthropology 112,B,% of Total Number of Records along Grade Code Final,,,,,14%,,,,,,,,,,,,,,,
Anthropology 112,B,Number of Records,,,,,44,,,,,,,,,,,,,,,
Anthropology 112,B-,% of Total Number of Records along Grade Code Final,,,,,,8%,,,,,,,,,,,,,,
Anthropology 112,B-,Number of Records,,,,,,26,,,,,,,,,,,,,,
Anthropology 112,B+,% of Total Number of Records along Grade Code Final,,,,19%,,,,,,,,,,,,,,,,
Anthropology 112,B+,Number of Records,,,,59,,,,,,,,,,,,,,,,
Anthropology 112,C,% of Total Number of Records along Grade Code Final,,,,,,,,2%,,,,,,,,,,,,
Anthropology 112,C,Number of Records,,,,,,,,6,,,,,,,,,,,,
Anthropology 112,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,3%,,,,,,,,,,,
Anthropology 112,C-,Number of Records,,,,,,,,,8,,,,,,,,,,,
Anthropology 112,C+,% of Total Number of Records along Grade Code Final,,,,,,,2%,,,,,,,,,,,,,
Anthropology 112,C+,Number of Records,,,,,,,5,,,,,,,,,,,,,
Anthropology 112,D-,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,1%,,,,,,,,
Anthropology 112,D-,Number of Records,,,,,,,,,,,,2,,,,,,,,
Anthropology 112,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,5%,,,,,,,
Anthropology 112,F,Number of Records,,,,,,,,,,,,,15,,,,,,,
Anthropology 112,NP,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,1%,,,,
Anthropology 112,NP,Number of Records,,,,,,,,,,,,,,,,3,,,,
Anthropology 112,P,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,1%,,
Anthropology 112,P,Number of Records,,,,,,,,,,,,,,,,,,3,,
Anthropology 112,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,2%,,,,,,
Anthropology 112,W,Number of Records,,,,,,,,,,,,,,6,,,,,,
Anthropology 113,A,% of Total Number of Records along Grade Code Final,,35%,,,,,,,,,,,,,,,,,,
Anthropology 113,A,Number of Records,,23,,,,,,,,,,,,,,,,,,
Anthropology 113,A-,% of Total Number of Records along Grade Code Final,,,24%,,,,,,,,,,,,,,,,,
Anthropology 113,A-,Number of Records,,,16,,,,,,,,,,,,,,,,,
Anthropology 113,A+,% of Total Number of Records along Grade Code Final,3%,,,,,,,,,,,,,,,,,,,
Anthropology 113,A+,Number of Records,2,,,,,,,,,,,,,,,,,,,
Anthropology 113,B,% of Total Number of Records along Grade Code Final,,,,,8%,,,,,,,,,,,,,,,
﻿Anthropology 113,B,Number of Records,,,,,5,,,,,,,,,,,,,,,
Anthropology 113,B-,% of Total Number of Records along Grade Code Final,,,,,,3%,,,,,,,,,,,,,,
