course_name,letter_grade,description,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,IP,NP,NR,P,S,U
Biological Sciences 161,C-,Number of Records,,,,,,,,,165,,,,,,,,,,,
Biological Sciences 161,C+,% of Total Number of Records along Grade Code Final,,,,,,,9%,,,,,,,,,,,,,
Biological Sciences 161,C+,Number of Records,,,,,,,181,,,,,,,,,,,,,
Biological Sciences 161,D,% of Total Number of Records along Grade Code Final,,,,,,,,,,,3%,,,,,,,,,
Biological Sciences 161,D,Number of Records,,,,,,,,,,,65,,,,,,,,,
Biological Sciences 161,D-,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,2%,,,,,,,,
Biological Sciences 161,D-,Number of Records,,,,,,,,,,,,36,,,,,,,,
Biological Sciences 161,D+,% of Total Number of Records along Grade Code Final,,,,,,,,,,2%,,,,,,,,,,
Biological Sciences 161,D+,Number of Records,,,,,,,,,,35,,,,,,,,,,
Biological Sciences 161,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,2%,,,,,,,
Biological Sciences 161,F,Number of Records,,,,,,,,,,,,,44,,,,,,,
Biological Sciences 161,P,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,0%,,
Biological Sciences 161,P,Number of Records,,,,,,,,,,,,,,,,,,7,,
Biological Sciences 161,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,1%,,,,,,
Biological Sciences 161,W,Number of Records,,,,,,,,,,,,,,31,,,,,,
Biological Sciences 163,A,% of Total Number of Records along Grade Code Final,,36%,,,,,,,,,,,,,,,,,,
Biological Sciences 163,A,Number of Records,,14,,,,,,,,,,,,,,,,,,
Biological Sciences 163,A-,% of Total Number of Records along Grade Code Final,,,15%,,,,,,,,,,,,,,,,,
Biological Sciences 163,A-,Number of Records,,,6,,,,,,,,,,,,,,,,,
Biological Sciences 163,A+,% of Total Number of Records along Grade Code Final,5%,,,,,,,,,,,,,,,,,,,
Biological Sciences 163,A+,Number of Records,2,,,,,,,,,,,,,,,,,,,
Biological Sciences 163,B,% of Total Number of Records along Grade Code Final,,,,,23%,,,,,,,,,,,,,,,
Biological Sciences 163,B,Number of Records,,,,,9,,,,,,,,,,,,,,,
Biological Sciences 163,B+,% of Total Number of Records along Grade Code Final,,,,5%,,,,,,,,,,,,,,,,
Biological Sciences 163,B+,Number of Records,,,,2,,,,,,,,,,,,,,,,
Biological Sciences 163,C+,% of Total Number of Records along Grade Code Final,,,,,,,3%,,,,,,,,,,,,,
Biological Sciences 163,C+,Number of Records,,,,,,,1,,,,,,,,,,,,,
Biological Sciences 163,D-,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,5%,,,,,,,,
Biological Sciences 163,D-,Number of Records,,,,,,,,,,,,2,,,,,,,,
Biological Sciences 163,P,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,5%,,
Biological Sciences 163,P,Number of Records,,,,,,,,,,,,,,,,,,2,,
Biological Sciences 163,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,3%,,,,,,
﻿Biological Sciences 163,W,Number of Records,,,,,,,,,,,,,,1,,,,,,
Biological Sciences 164,A,% of Total Number of Records along Grade Code Final,,13%,,,,,,,,,,,,,,,,,,
Biological Sciences 164,A,Number of Records,,31,,,,,,,,,,,,,,,,,,
Biological Sciences 164,A+,% of Total Number of Records along Grade Code Final,2%,,,,,,,,,,,,,,,,,,,
Biological Sciences 164,A+,Number of Records,5,,,,,,,,,,,,,,,,,,,
Biological Sciences 164,B,% of Total Number of Records along Grade Code Final,,,,,20%,,,,,,,,,,,,,,,
Biological Sciences 164,B,Number of Records,,,,,49,,,,,,,,,,,,,,,
Biological Sciences 164,B-,% of Total Number of Records along Grade Code Final,,,,,,0%,,,,,,,,,,,,,,
Biological Sciences 164,B-,Number of Records,,,,,,1,,,,,,,,,,,,,,
Biological Sciences 164,B+,% of Total Number of Records along Grade Code Final,,,,0%,,,,,,,,,,,,,,,,
Biological Sciences 164,B+,Number of Records,,,,1,,,,,,,,,,,,,,,,
Biological Sciences 164,C,% of Total Number of Records along Grade Code Final,,,,,,,,21%,,,,,,,,,,,,
Biological Sciences 164,C,Number of Records,,,,,,,,51,,,,,,,,,,,,
Biological Sciences 164,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,4%,,,,,,,,,,,
Biological Sciences 164,C-,Number of Records,,,,,,,,,9,,,,,,,,,,,
Biological Sciences 164,C+,% of Total Number of Records along Grade Code Final,,,,,,,1%,,,,,,,,,,,,,
Biological Sciences 164,C+,Number of Records,,,,,,,2,,,,,,,,,,,,,
Biological Sciences 164,D,% of Total Number of Records along Grade Code Final,,,,,,,,,,,15%,,,,,,,,,
Biological Sciences 164,D,Number of Records,,,,,,,,,,,35,,,,,,,,,
Biological Sciences 164,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,20%,,,,,,,
Biological Sciences 164,F,Number of Records,,,,,,,,,,,,,49,,,,,,,
Biological Sciences 164,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,3%,,,,,,
Biological Sciences 164,W,Number of Records,,,,,,,,,,,,,,7,,,,,,
Biological Sciences 170,A,% of Total Number of Records along Grade Code Final,,13%,,,,,,,,,,,,,,,,,,
Biological Sciences 170,A,Number of Records,,109,,,,,,,,,,,,,,,,,,
Biological Sciences 170,A-,% of Total Number of Records along Grade Code Final,,,7%,,,,,,,,,,,,,,,,,
Biological Sciences 170,A-,Number of Records,,,62,,,,,,,,,,,,,,,,,
Biological Sciences 170,A+,% of Total Number of Records along Grade Code Final,2%,,,,,,,,,,,,,,,,,,,
Biological Sciences 170,A+,Number of Records,18,,,,,,,,,,,,,,,,,,,
Biological Sciences 170,B,% of Total Number of Records along Grade Code Final,,,,,11%,,,,,,,,,,,,,,,
Biological Sciences 170,B,Number of Records,,,,,93,,,,,,,,,,,,,,,
Biological Sciences 170,B-,% of Total Number of Records along Grade Code Final,,,,,,13%,,,,,,,,,,,,,,
Biological Sciences 170,B-,Number of Records,,,,,,106,,,,,,,,,,,,,,
Biological Sciences 170,B+,% of Total Number of Records along Grade Code Final,,,,8%,,,,,,,,,,,,,,,,
Biological Sciences 170,B+,Number of Records,,,,69,,,,,,,,,,,,,,,,
Biological Sciences 170,C,% of Total Number of Records along Grade Code Final,,,,,,,,10%,,,,,,,,,,,,
Biological Sciences 170,C,Number of Records,,,,,,,,79,,,,,,,,,,,,
Biological Sciences 170,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,13%,,,,,,,,,,,
Biological Sciences 170,C-,Number of Records,,,,,,,,,106,,,,,,,,,,,
Biological Sciences 170,C+,% of Total Number of Records along Grade Code Final,,,,,,,11%,,,,,,,,,,,,,
Biological Sciences 170,C+,Number of Records,,,,,,,89,,,,,,,,,,,,,
Biological Sciences 170,D,% of Total Number of Records along Grade Code Final,,,,,,,,,,,2%,,,,,,,,,
Biological Sciences 170,D,Number of Records,,,,,,,,,,,14,,,,,,,,,
Biological Sciences 170,D-,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,0%,,,,,,,,
Biological Sciences 170,D-,Number of Records,,,,,,,,,,,,3,,,,,,,,
Biological Sciences 170,D+,% of Total Number of Records along Grade Code Final,,,,,,,,,,0%,,,,,,,,,,
Biological Sciences 170,D+,Number of Records,,,,,,,,,,2,,,,,,,,,,
Biological Sciences 170,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,3%,,,,,,,
Biological Sciences 170,F,Number of Records,,,,,,,,,,,,,22,,,,,,,
Biological Sciences 170,NP,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,1%,,,,
﻿Biological Sciences 170,NP,Number of Records,,,,,,,,,,,,,,,,10,,,,
Biological Sciences 170,P,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,4%,,
Biological Sciences 170,P,Number of Records,,,,,,,,,,,,,,,,,,31,,
Biological Sciences 170,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,2%,,,,,,
Biological Sciences 170,W,Number of Records,,,,,,,,,,,,,,17,,,,,,
Biological Sciences 170L,A,% of Total Number of Records along Grade Code Final,,66%,,,,,,,,,,,,,,,,,,
Biological Sciences 170L,A,Number of Records,,253,,,,,,,,,,,,,,,,,,
Biological Sciences 170L,A-,% of Total Number of Records along Grade Code Final,,,8%,,,,,,,,,,,,,,,,,
Biological Sciences 170L,A-,Number of Records,,,31,,,,,,,,,,,,,,,,,
Biological Sciences 170L,A+,% of Total Number of Records along Grade Code Final,17%,,,,,,,,,,,,,,,,,,,
Biological Sciences 170L,A+,Number of Records,65,,,,,,,,,,,,,,,,,,,
Biological Sciences 170L,B,% of Total Number of Records along Grade Code Final,,,,,2%,,,,,,,,,,,,,,,
Biological Sciences 170L,B,Number of Records,,,,,6,,,,,,,,,,,,,,,
Biological Sciences 170L,B-,% of Total Number of Records along Grade Code Final,,,,,,1%,,,,,,,,,,,,,,
Biological Sciences 170L,B-,Number of Records,,,,,,2,,,,,,,,,,,,,,
Biological Sciences 170L,B+,% of Total Number of Records along Grade Code Final,,,,2%,,,,,,,,,,,,,,,,
Biological Sciences 170L,B+,Number of Records,,,,7,,,,,,,,,,,,,,,,
Biological Sciences 170L,C,% of Total Number of Records along Grade Code Final,,,,,,,,0%,,,,,,,,,,,,
Biological Sciences 170L,C,Number of Records,,,,,,,,1,,,,,,,,,,,,
Biological Sciences 170L,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,1%,,,,,,,,,,,
Biological Sciences 170L,C-,Number of Records,,,,,,,,,2,,,,,,,,,,,
Biological Sciences 170L,C+,% of Total Number of Records along Grade Code Final,,,,,,,0%,,,,,,,,,,,,,
Biological Sciences 170L,C+,Number of Records,,,,,,,1,,,,,,,,,,,,,
Biological Sciences 170L,D,% of Total Number of Records along Grade Code Final,,,,,,,,,,,0%,,,,,,,,,
Biological Sciences 170L,D,Number of Records,,,,,,,,,,,1,,,,,,,,,
Biological Sciences 170L,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,0%,,,,,,,
Biological Sciences 170L,F,Number of Records,,,,,,,,,,,,,1,,,,,,,
Biological Sciences 170L,P,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,3%,,
Biological Sciences 170L,P,Number of Records,,,,,,,,,,,,,,,,,,12,,
Biological Sciences 170L,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,1%,,,,,,
Biological Sciences 170L,W,Number of Records,,,,,,,,,,,,,,2,,,,,,
Biological Sciences 171,A,% of Total Number of Records along Grade Code Final,,44%,,,,,,,,,,,,,,,,,,
Biological Sciences 171,A,Number of Records,,7,,,,,,,,,,,,,,,,,,
Biological Sciences 171,B,% of Total Number of Records along Grade Code Final,,,,,19%,,,,,,,,,,,,,,,
Biological Sciences 171,B,Number of Records,,,,,3,,,,,,,,,,,,,,,
Biological Sciences 171,B-,% of Total Number of Records along Grade Code Final,,,,,,6%,,,,,,,,,,,,,,
Biological Sciences 171,B-,Number of Records,,,,,,1,,,,,,,,,,,,,,
Biological Sciences 171,B+,% of Total Number of Records along Grade Code Final,,,,6%,,,,,,,,,,,,,,,,
Biological Sciences 171,B+,Number of Records,,,,1,,,,,,,,,,,,,,,,
Biological Sciences 171,C,% of Total Number of Records along Grade Code Final,,,,,,,,25%,,,,,,,,,,,,
Biological Sciences 171,C,Number of Records,,,,,,,,4,,,,,,,,,,,,
Biological Sciences 172,A,% of Total Number of Records along Grade Code Final,,30%,,,,,,,,,,,,,,,,,,
Biological Sciences 172,A,Number of Records,,3,,,,,,,,,,,,,,,,,,
Biological Sciences 172,A-,% of Total Number of Records along Grade Code Final,,,20%,,,,,,,,,,,,,,,,,
Biological Sciences 172,A-,Number of Records,,,2,,,,,,,,,,,,,,,,,
Biological Sciences 172,A+,% of Total Number of Records along Grade Code Final,50%,,,,,,,,,,,,,,,,,,,
Biological Sciences 172,A+,Number of Records,5,,,,,,,,,,,,,,,,,,,
Biological Sciences 174,A,% of Total Number of Records along Grade Code Final,,8%,,,,,,,,,,,,,,,,,,
Biological Sciences 174,A,Number of Records,,2,,,,,,,,,,,,,,,,,,
Biological Sciences 174,A-,% of Total Number of Records along Grade Code Final,,,20%,,,,,,,,,,,,,,,,,
﻿Biological Sciences 174,A-,Number of Records,,,5,,,,,,,,,,,,,,,,,
Biological Sciences 174,A+,% of Total Number of Records along Grade Code Final,20%,,,,,,,,,,,,,,,,,,,
Biological Sciences 174,A+,Number of Records,5,,,,,,,,,,,,,,,,,,,
Biological Sciences 174,B,% of Total Number of Records along Grade Code Final,,,,,4%,,,,,,,,,,,,,,,
Biological Sciences 174,B,Number of Records,,,,,1,,,,,,,,,,,,,,,
Biological Sciences 174,B-,% of Total Number of Records along Grade Code Final,,,,,,4%,,,,,,,,,,,,,,
Biological Sciences 174,B-,Number of Records,,,,,,1,,,,,,,,,,,,,,
Biological Sciences 174,B+,% of Total Number of Records along Grade Code Final,,,,16%,,,,,,,,,,,,,,,,
Biological Sciences 174,B+,Number of Records,,,,4,,,,,,,,,,,,,,,,
Biological Sciences 174,C,% of Total Number of Records along Grade Code Final,,,,,,,,8%,,,,,,,,,,,,
Biological Sciences 174,C,Number of Records,,,,,,,,2,,,,,,,,,,,,
Biological Sciences 174,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,8%,,,,,,,,,,,
Biological Sciences 174,C-,Number of Records,,,,,,,,,2,,,,,,,,,,,
Biological Sciences 174,D+,% of Total Number of Records along Grade Code Final,,,,,,,,,,4%,,,,,,,,,,
Biological Sciences 174,D+,Number of Records,,,,,,,,,,1,,,,,,,,,,
Biological Sciences 174,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,4%,,,,,,,
Biological Sciences 174,F,Number of Records,,,,,,,,,,,,,1,,,,,,,
Biological Sciences 174,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,4%,,,,,,
Biological Sciences 174,W,Number of Records,,,,,,,,,,,,,,1,,,,,,
Biological Sciences 175,A,% of Total Number of Records along Grade Code Final,,19%,,,,,,,,,,,,,,,,,,
Biological Sciences 175,A,Number of Records,,69,,,,,,,,,,,,,,,,,,
Biological Sciences 175,A-,% of Total Number of Records along Grade Code Final,,,7%,,,,,,,,,,,,,,,,,
Biological Sciences 175,A-,Number of Records,,,24,,,,,,,,,,,,,,,,,
Biological Sciences 175,A+,% of Total Number of Records along Grade Code Final,5%,,,,,,,,,,,,,,,,,,,
Biological Sciences 175,A+,Number of Records,17,,,,,,,,,,,,,,,,,,,
Biological Sciences 175,B,% of Total Number of Records along Grade Code Final,,,,,13%,,,,,,,,,,,,,,,
Biological Sciences 175,B,Number of Records,,,,,48,,,,,,,,,,,,,,,
Biological Sciences 175,B-,% of Total Number of Records along Grade Code Final,,,,,,12%,,,,,,,,,,,,,,
Biological Sciences 175,B-,Number of Records,,,,,,42,,,,,,,,,,,,,,
Biological Sciences 175,B+,% of Total Number of Records along Grade Code Final,,,,10%,,,,,,,,,,,,,,,,
Biological Sciences 175,B+,Number of Records,,,,36,,,,,,,,,,,,,,,,
Biological Sciences 175,C,% of Total Number of Records along Grade Code Final,,,,,,,,9%,,,,,,,,,,,,
Biological Sciences 175,C,Number of Records,,,,,,,,33,,,,,,,,,,,,
Biological Sciences 175,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,6%,,,,,,,,,,,
Biological Sciences 175,C-,Number of Records,,,,,,,,,22,,,,,,,,,,,
Biological Sciences 175,C+,% of Total Number of Records along Grade Code Final,,,,,,,10%,,,,,,,,,,,,,
Biological Sciences 175,C+,Number of Records,,,,,,,35,,,,,,,,,,,,,
Biological Sciences 175,D,% of Total Number of Records along Grade Code Final,,,,,,,,,,,2%,,,,,,,,,
Biological Sciences 175,D,Number of Records,,,,,,,,,,,6,,,,,,,,,
Biological Sciences 175,D-,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,1%,,,,,,,,
Biological Sciences 175,D-,Number of Records,,,,,,,,,,,,3,,,,,,,,
Biological Sciences 175,D+,% of Total Number of Records along Grade Code Final,,,,,,,,,,4%,,,,,,,,,,
Biological Sciences 175,D+,Number of Records,,,,,,,,,,16,,,,,,,,,,
Biological Sciences 175,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,1%,,,,,,,
Biological Sciences 175,F,Number of Records,,,,,,,,,,,,,5,,,,,,,
Biological Sciences 175,NP,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,1%,,,,
Biological Sciences 175,NP,Number of Records,,,,,,,,,,,,,,,,3,,,,
Biological Sciences 175,P,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,0%,,
Biological Sciences 175,P,Number of Records,,,,,,,,,,,,,,,,,,1,,
Biological Sciences 175,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,1%,,,,,,
﻿Biological Sciences 175,W,Number of Records,,,,,,,,,,,,,,5,,,,,,
Biological Sciences 177,A,% of Total Number of Records along Grade Code Final,,36%,,,,,,,,,,,,,,,,,,
Biological Sciences 177,A,Number of Records,,4,,,,,,,,,,,,,,,,,,
Biological Sciences 177,A+,% of Total Number of Records along Grade Code Final,18%,,,,,,,,,,,,,,,,,,,
Biological Sciences 177,A+,Number of Records,2,,,,,,,,,,,,,,,,,,,
Biological Sciences 177,B,% of Total Number of Records along Grade Code Final,,,,,27%,,,,,,,,,,,,,,,
Biological Sciences 177,B,Number of Records,,,,,3,,,,,,,,,,,,,,,
Biological Sciences 177,C,% of Total Number of Records along Grade Code Final,,,,,,,,18%,,,,,,,,,,,,
Biological Sciences 177,C,Number of Records,,,,,,,,2,,,,,,,,,,,,
Biological Sciences 180,A,% of Total Number of Records along Grade Code Final,,15%,,,,,,,,,,,,,,,,,,
Biological Sciences 180,A,Number of Records,,266,,,,,,,,,,,,,,,,,,
Biological Sciences 180,A-,% of Total Number of Records along Grade Code Final,,,10%,,,,,,,,,,,,,,,,,
Biological Sciences 180,A-,Number of Records,,,178,,,,,,,,,,,,,,,,,
Biological Sciences 180,A+,% of Total Number of Records along Grade Code Final,4%,,,,,,,,,,,,,,,,,,,
Biological Sciences 180,A+,Number of Records,79,,,,,,,,,,,,,,,,,,,
Biological Sciences 180,B,% of Total Number of Records along Grade Code Final,,,,,27%,,,,,,,,,,,,,,,
Biological Sciences 180,B,Number of Records,,,,,485,,,,,,,,,,,,,,,
Biological Sciences 180,B-,% of Total Number of Records along Grade Code Final,,,,,,7%,,,,,,,,,,,,,,
Biological Sciences 180,B-,Number of Records,,,,,,133,,,,,,,,,,,,,,
Biological Sciences 180,B+,% of Total Number of Records along Grade Code Final,,,,8%,,,,,,,,,,,,,,,,
Biological Sciences 180,B+,Number of Records,,,,152,,,,,,,,,,,,,,,,
Biological Sciences 180,C,% of Total Number of Records along Grade Code Final,,,,,,,,13%,,,,,,,,,,,,
Biological Sciences 180,C,Number of Records,,,,,,,,231,,,,,,,,,,,,
Biological Sciences 180,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,3%,,,,,,,,,,,
Biological Sciences 180,C-,Number of Records,,,,,,,,,48,,,,,,,,,,,
Biological Sciences 180,C+,% of Total Number of Records along Grade Code Final,,,,,,,5%,,,,,,,,,,,,,
Biological Sciences 180,C+,Number of Records,,,,,,,97,,,,,,,,,,,,,
Biological Sciences 180,D,% of Total Number of Records along Grade Code Final,,,,,,,,,,,2%,,,,,,,,,
Biological Sciences 180,D,Number of Records,,,,,,,,,,,29,,,,,,,,,
Biological Sciences 180,D-,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,1%,,,,,,,,
Biological Sciences 180,D-,Number of Records,,,,,,,,,,,,17,,,,,,,,
Biological Sciences 180,D+,% of Total Number of Records along Grade Code Final,,,,,,,,,,1%,,,,,,,,,,
Biological Sciences 180,D+,Number of Records,,,,,,,,,,18,,,,,,,,,,
Biological Sciences 180,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,2%,,,,,,,
Biological Sciences 180,F,Number of Records,,,,,,,,,,,,,30,,,,,,,
Biological Sciences 180,NP,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,1%,,,,
Biological Sciences 180,NP,Number of Records,,,,,,,,,,,,,,,,15,,,,
Biological Sciences 180,P,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,2%,,
Biological Sciences 180,P,Number of Records,,,,,,,,,,,,,,,,,,29,,
Biological Sciences 180,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,1%,,,,,,
Biological Sciences 180,W,Number of Records,,,,,,,,,,,,,,12,,,,,,
Biological Sciences 181,A,% of Total Number of Records along Grade Code Final,,33%,,,,,,,,,,,,,,,,,,
Biological Sciences 181,A,Number of Records,,14,,,,,,,,,,,,,,,,,,
Biological Sciences 181,A-,% of Total Number of Records along Grade Code Final,,,7%,,,,,,,,,,,,,,,,,
Biological Sciences 181,A-,Number of Records,,,3,,,,,,,,,,,,,,,,,
Biological Sciences 181,B,% of Total Number of Records along Grade Code Final,,,,,26%,,,,,,,,,,,,,,,
Biological Sciences 181,B,Number of Records,,,,,11,,,,,,,,,,,,,,,
Biological Sciences 181,B-,% of Total Number of Records along Grade Code Final,,,,,,5%,,,,,,,,,,,,,,
Biological Sciences 181,B-,Number of Records,,,,,,2,,,,,,,,,,,,,,
Biological Sciences 181,C,% of Total Number of Records along Grade Code Final,,,,,,,,12%,,,,,,,,,,,,
﻿Biological Sciences 181,C,Number of Records,,,,,,,,5,,,,,,,,,,,,
Biological Sciences 181,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,2%,,,,,,,,,,,
Biological Sciences 181,C-,Number of Records,,,,,,,,,1,,,,,,,,,,,
Biological Sciences 181,C+,% of Total Number of Records along Grade Code Final,,,,,,,2%,,,,,,,,,,,,,
Biological Sciences 181,C+,Number of Records,,,,,,,1,,,,,,,,,,,,,
Biological Sciences 181,D,% of Total Number of Records along Grade Code Final,,,,,,,,,,,9%,,,,,,,,,
Biological Sciences 181,D,Number of Records,,,,,,,,,,,4,,,,,,,,,
Biological Sciences 181,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,5%,,,,,,,
Biological Sciences 181,F,Number of Records,,,,,,,,,,,,,2,,,,,,,
Biological Sciences 182,A,% of Total Number of Records along Grade Code Final,,24%,,,,,,,,,,,,,,,,,,
Biological Sciences 182,A,Number of Records,,49,,,,,,,,,,,,,,,,,,
Biological Sciences 182,A-,% of Total Number of Records along Grade Code Final,,,5%,,,,,,,,,,,,,,,,,
Biological Sciences 182,A-,Number of Records,,,10,,,,,,,,,,,,,,,,,
Biological Sciences 182,A+,% of Total Number of Records along Grade Code Final,3%,,,,,,,,,,,,,,,,,,,
Biological Sciences 182,A+,Number of Records,6,,,,,,,,,,,,,,,,,,,
Biological Sciences 182,B,% of Total Number of Records along Grade Code Final,,,,,15%,,,,,,,,,,,,,,,
Biological Sciences 182,B,Number of Records,,,,,30,,,,,,,,,,,,,,,
Biological Sciences 182,B-,% of Total Number of Records along Grade Code Final,,,,,,10%,,,,,,,,,,,,,,
Biological Sciences 182,B-,Number of Records,,,,,,21,,,,,,,,,,,,,,
Biological Sciences 182,B+,% of Total Number of Records along Grade Code Final,,,,10%,,,,,,,,,,,,,,,,
Biological Sciences 182,B+,Number of Records,,,,20,,,,,,,,,,,,,,,,
Biological Sciences 182,C,% of Total Number of Records along Grade Code Final,,,,,,,,6%,,,,,,,,,,,,
Biological Sciences 182,C,Number of Records,,,,,,,,13,,,,,,,,,,,,
Biological Sciences 182,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,6%,,,,,,,,,,,
Biological Sciences 182,C-,Number of Records,,,,,,,,,12,,,,,,,,,,,
Biological Sciences 182,C+,% of Total Number of Records along Grade Code Final,,,,,,,3%,,,,,,,,,,,,,
Biological Sciences 182,C+,Number of Records,,,,,,,7,,,,,,,,,,,,,
Biological Sciences 182,D,% of Total Number of Records along Grade Code Final,,,,,,,,,,,2%,,,,,,,,,
Biological Sciences 182,D,Number of Records,,,,,,,,,,,5,,,,,,,,,
Biological Sciences 182,D-,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,2%,,,,,,,,
Biological Sciences 182,D-,Number of Records,,,,,,,,,,,,4,,,,,,,,
Biological Sciences 182,D+,% of Total Number of Records along Grade Code Final,,,,,,,,,,1%,,,,,,,,,,
Biological Sciences 182,D+,Number of Records,,,,,,,,,,2,,,,,,,,,,
Biological Sciences 182,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,7%,,,,,,,
Biological Sciences 182,F,Number of Records,,,,,,,,,,,,,15,,,,,,,
Biological Sciences 182,P,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,1%,,
Biological Sciences 182,P,Number of Records,,,,,,,,,,,,,,,,,,3,,
Biological Sciences 182,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,3%,,,,,,
Biological Sciences 182,W,Number of Records,,,,,,,,,,,,,,6,,,,,,
Biological Sciences 184,A,% of Total Number of Records along Grade Code Final,,54%,,,,,,,,,,,,,,,,,,
Biological Sciences 184,A,Number of Records,,97,,,,,,,,,,,,,,,,,,
Biological Sciences 184,A-,% of Total Number of Records along Grade Code Final,,,14%,,,,,,,,,,,,,,,,,
Biological Sciences 184,A-,Number of Records,,,25,,,,,,,,,,,,,,,,,
Biological Sciences 184,A+,% of Total Number of Records along Grade Code Final,2%,,,,,,,,,,,,,,,,,,,
Biological Sciences 184,A+,Number of Records,3,,,,,,,,,,,,,,,,,,,
Biological Sciences 184,B,% of Total Number of Records along Grade Code Final,,,,,8%,,,,,,,,,,,,,,,
Biological Sciences 184,B,Number of Records,,,,,14,,,,,,,,,,,,,,,
Biological Sciences 184,B-,% of Total Number of Records along Grade Code Final,,,,,,3%,,,,,,,,,,,,,,
Biological Sciences 184,B-,Number of Records,,,,,,5,,,,,,,,,,,,,,
Biological Sciences 184,B+,% of Total Number of Records along Grade Code Final,,,,9%,,,,,,,,,,,,,,,,
﻿Biological Sciences 184,B+,Number of Records,,,,17,,,,,,,,,,,,,,,,
Biological Sciences 184,C,% of Total Number of Records along Grade Code Final,,,,,,,,2%,,,,,,,,,,,,
Biological Sciences 184,C,Number of Records,,,,,,,,3,,,,,,,,,,,,
Biological Sciences 184,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,2%,,,,,,,,,,,
Biological Sciences 184,C-,Number of Records,,,,,,,,,3,,,,,,,,,,,
Biological Sciences 184,C+,% of Total Number of Records along Grade Code Final,,,,,,,2%,,,,,,,,,,,,,
Biological Sciences 184,C+,Number of Records,,,,,,,4,,,,,,,,,,,,,
Biological Sciences 184,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,2%,,,,,,,
Biological Sciences 184,F,Number of Records,,,,,,,,,,,,,4,,,,,,,
Biological Sciences 184,P,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,2%,,
Biological Sciences 184,P,Number of Records,,,,,,,,,,,,,,,,,,3,,
Biological Sciences 184,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,1%,,,,,,
Biological Sciences 184,W,Number of Records,,,,,,,,,,,,,,1,,,,,,
Biological Sciences 188,A,% of Total Number of Records along Grade Code Final,,5%,,,,,,,,,,,,,,,,,,
Biological Sciences 188,A,Number of Records,,5,,,,,,,,,,,,,,,,,,
Biological Sciences 188,A-,% of Total Number of Records along Grade Code Final,,,10%,,,,,,,,,,,,,,,,,
Biological Sciences 188,A-,Number of Records,,,11,,,,,,,,,,,,,,,,,
Biological Sciences 188,B,% of Total Number of Records along Grade Code Final,,,,,12%,,,,,,,,,,,,,,,
Biological Sciences 188,B,Number of Records,,,,,13,,,,,,,,,,,,,,,
